tower_number,unit_category,unit_number,floor_area_sqft,sale_price,listing_status,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Birth_Year,Age,Cluster,Buyer_Segment
11,1,52,1397.58,431012.78,0,1,0,9,15,0,4.0,0,0,1942.0,84.0,0,Senior Home Buyers
11,1,52,1397.58,488040.25,0,1,0,9,8,1,4.0,0,0,1953.0,73.0,1,High-Value Investors
11,0,57,1008.58,326858.35,0,1,0,5,16,1,4.0,0,2,1999.0,27.0,3,Young Buyers
11,0,59,782.92,240569.01,0,1,0,9,11,0,5.0,0,2,1958.0,68.0,0,Senior Home Buyers
11,0,64,1916.26,606614.22,0,1,1,7,42,0,3.0,0,2,1977.0,49.0,1,High-Value Investors
11,0,64,1916.26,548573.88,0,1,0,9,27,0,2.0,0,2,1956.0,70.0,1,High-Value Investors
12,0,2,1285.87,344289.15,0,1,1,5,3,0,5.0,0,2,1968.0,58.0,1,High-Value Investors
12,0,14,1369.96,369810.4,0,1,1,9,48,1,3.0,0,2,1950.0,76.0,0,Senior Home Buyers
12,0,15,1456.98,419994.84,0,1,0,2,0,0,2.0,0,0,1998.0,28.0,3,Young Buyers
12,0,16,1523.02,535623.53,0,1,1,4,6,1,4.0,0,0,1999.0,27.0,1,High-Value Investors
12,0,22,892.67,287870.29,0,1,1,9,1,0,2.0,1,2,1979.0,47.0,3,Young Buyers
12,0,25,1540.51,508725.94,0,1,0,9,15,0,4.0,0,0,2000.0,26.0,1,High-Value Investors
12,0,28,1563.65,494567.75,0,1,0,9,8,0,2.0,1,0,1978.0,48.0,1,High-Value Investors
12,0,30,622.2,198851.29,0,1,1,9,8,0,2.0,1,2,1947.0,79.0,0,Senior Home Buyers
12,0,33,1232.2,356644.67,0,1,0,9,25,1,4.0,1,2,1949.0,77.0,0,Senior Home Buyers
12,1,33,1232.2,403361.09,0,1,1,4,6,0,4.0,1,0,1970.0,56.0,1,High-Value Investors
12,0,35,1690.62,478604.48,0,1,0,9,25,0,4.0,1,0,1945.0,81.0,1,High-Value Investors
12,0,37,1681.78,540633.13,0,1,1,2,5,0,3.0,1,0,1985.0,41.0,1,High-Value Investors
12,0,38,1157.23,339572.46,0,1,0,9,25,0,1.0,1,2,1990.0,36.0,3,Young Buyers
12,1,40,1562.24,510060.4,0,1,1,9,8,0,5.0,0,2,1978.0,48.0,1,High-Value Investors
12,0,42,596.21,186738.87,0,1,1,9,8,1,5.0,1,2,1947.0,79.0,0,Senior Home Buyers
12,0,44,635.36,192057.65,0,1,0,9,27,0,4.0,1,0,1994.0,32.0,3,Young Buyers
12,0,47,1528.05,410486.46,0,1,0,9,8,0,1.0,0,0,1944.0,82.0,1,High-Value Investors
13,0,1,1899.92,501892.72,0,1,1,9,48,0,3.0,0,2,1946.0,80.0,1,High-Value Investors
13,1,8,1449.43,474592.55,0,1,0,9,8,0,2.0,1,2,1995.0,31.0,1,High-Value Investors
13,0,10,1314.38,477256.95,0,1,0,9,8,0,1.0,0,0,1963.0,63.0,1,High-Value Investors
13,0,11,1678.3,453899.37,0,1,1,9,8,0,1.0,0,2,1975.0,51.0,1,High-Value Investors
13,0,15,458.29,109548.52,0,1,1,9,8,0,4.0,0,0,1950.0,76.0,0,Senior Home Buyers
13,0,17,1278.95,412844.86,0,1,0,9,25,1,2.0,0,2,1957.0,69.0,1,High-Value Investors
13,0,25,633.86,179447.57,0,1,0,9,8,0,4.0,0,2,1976.0,50.0,3,Young Buyers
13,0,29,568.7,175980.46,0,1,1,9,14,1,3.0,1,1,1986.0,40.0,3,Young Buyers
13,0,30,1777.51,431607.94,0,1,1,9,1,1,2.0,0,0,1966.0,60.0,1,High-Value Investors
13,0,32,1114.07,342505.69,0,1,1,9,27,0,5.0,1,2,1977.0,49.0,3,Young Buyers
13,0,37,1555.67,442624.97,0,1,1,7,32,1,3.0,1,2,1985.0,41.0,1,High-Value Investors
13,0,43,1875.83,601046.95,0,1,0,6,33,0,1.0,1,1,1998.0,28.0,1,High-Value Investors
13,0,45,986.91,293100.75,0,0,0,8,31,0,3.0,1,0,1964.0,62.0,2,Corporate Buyers
13,0,47,1874.35,519323.63,0,1,0,9,25,0,1.0,0,0,1964.0,62.0,1,High-Value Investors
13,0,47,1874.35,552935.09,0,1,1,3,9,0,1.0,0,2,1991.0,35.0,1,High-Value Investors
13,0,47,1874.35,603155.94,0,1,0,9,11,0,3.0,1,2,1995.0,31.0,1,High-Value Investors
13,0,48,1728.84,454474.49,0,1,1,9,48,0,1.0,1,2,1996.0,30.0,1,High-Value Investors
13,0,49,572.01,139828.56,0,1,1,9,8,0,1.0,0,2,1975.0,51.0,3,Young Buyers
13,0,53,968.77,320906.8,0,1,0,8,51,0,5.0,0,0,1977.0,49.0,3,Young Buyers
13,0,53,968.77,289176.49,0,1,0,9,1,0,5.0,0,0,1964.0,62.0,0,Senior Home Buyers
13,0,56,606.9,192486.8,0,1,0,9,11,1,2.0,0,0,1975.0,51.0,3,Young Buyers
13,0,57,1717.49,486561.68,0,1,1,9,8,0,3.0,0,1,1958.0,68.0,1,High-Value Investors
13,1,60,1401.81,468196.39,0,1,1,9,8,0,2.0,0,2,1977.0,49.0,1,High-Value Investors
13,0,61,1333.63,406850.28,0,1,0,9,8,0,2.0,0,1,1982.0,44.0,1,High-Value Investors
13,0,65,612.66,169224.66,0,1,1,9,47,0,5.0,0,2,1980.0,46.0,3,Young Buyers
13,0,67,524.97,169367.25,0,1,1,9,1,0,3.0,0,0,1976.0,50.0,3,Young Buyers
14,0,4,1797.81,515152.93,0,1,1,1,52,1,5.0,0,2,1986.0,40.0,1,High-Value Investors
14,1,16,915.37,319620.31,0,1,1,9,25,1,3.0,1,0,1980.0,46.0,3,Young Buyers
14,0,24,1205.25,345686.53,0,1,1,4,18,1,4.0,1,1,1978.0,48.0,3,Young Buyers
14,0,40,532.44,151228.65,0,1,0,0,49,0,1.0,0,2,1941.0,85.0,0,Senior Home Buyers
14,0,43,520.49,146968.53,0,1,1,9,53,0,3.0,1,0,1962.0,64.0,0,Senior Home Buyers
14,0,43,520.49,167318.39,0,1,1,9,8,0,5.0,0,0,1970.0,56.0,0,Senior Home Buyers
14,0,43,520.49,144623.04,0,1,0,9,48,0,5.0,1,2,1968.0,58.0,0,Senior Home Buyers
14,0,51,1346.3,404594.57,0,1,1,9,27,1,1.0,0,2,1991.0,35.0,3,Young Buyers
14,0,52,571.74,163741.56,0,0,0,9,11,0,2.0,0,2,1991.0,35.0,2,Corporate Buyers
15,0,1,1596.51,527403.68,0,1,0,9,8,1,4.0,1,2,1984.0,42.0,1,High-Value Investors
15,0,2,1522.89,443338.93,0,1,1,9,8,0,4.0,0,0,1954.0,72.0,1,High-Value Investors
15,0,2,1522.89,463948.75,0,1,1,9,48,0,2.0,0,2,1992.0,34.0,1,High-Value Investors
15,0,7,1113.85,339062.68,0,1,0,9,27,0,2.0,0,1,1965.0,61.0,0,Senior Home Buyers
15,0,13,653.54,198883.96,0,0,1,9,25,0,4.0,1,0,1965.0,61.0,2,Corporate Buyers
15,0,15,522.71,153702.37,0,1,1,9,8,0,3.0,1,0,1964.0,62.0,0,Senior Home Buyers
15,0,17,562.64,174634.6,0,0,0,4,28,0,4.0,1,2,1993.0,33.0,2,Corporate Buyers
15,0,18,567.74,176372.47,0,1,0,9,8,0,1.0,1,0,1964.0,62.0,0,Senior Home Buyers
15,1,23,1279.23,381854.67,0,1,0,9,53,0,4.0,0,2,1970.0,56.0,1,High-Value Investors
15,1,24,924.36,278376.64,0,1,0,9,8,1,3.0,0,2,1950.0,76.0,0,Senior Home Buyers
15,0,26,961.01,259608.83,0,1,0,2,0,0,2.0,0,0,1943.0,83.0,0,Senior Home Buyers
15,0,26,961.01,321694.85,0,1,0,9,1,0,2.0,0,0,1964.0,62.0,0,Senior Home Buyers
15,0,28,1567.93,502064.98,0,1,0,9,8,0,5.0,0,0,1966.0,60.0,1,High-Value Investors
15,0,31,1901.65,599081.0,0,1,1,9,8,1,2.0,1,2,1999.0,27.0,1,High-Value Investors
15,0,35,745.49,223449.69,0,1,1,9,8,0,2.0,0,2,1979.0,47.0,3,Young Buyers
15,0,44,1713.09,518036.13,0,1,1,9,53,1,2.0,0,1,2000.0,26.0,1,High-Value Investors
15,0,45,1911.06,558806.02,0,1,1,6,33,0,5.0,0,0,1969.0,57.0,1,High-Value Investors
15,0,50,1841.5,556838.33,0,0,1,9,15,0,3.0,1,1,1975.0,51.0,2,Corporate Buyers
15,0,57,429.34,125292.1,0,1,0,9,37,0,1.0,0,0,1963.0,63.0,0,Senior Home Buyers
15,0,57,429.34,137541.82,0,1,1,9,8,0,1.0,1,0,1950.0,76.0,0,Senior Home Buyers
15,0,57,429.34,124270.9,0,1,1,9,48,0,4.0,1,0,1998.0,28.0,3,Young Buyers
16,0,5,749.15,218027.25,0,1,1,9,8,0,4.0,1,2,1951.0,75.0,0,Senior Home Buyers
16,0,6,1062.34,295791.28,0,1,0,9,1,0,5.0,0,0,1951.0,75.0,0,Senior Home Buyers
16,0,9,1524.04,508776.17,0,1,1,9,11,0,5.0,0,2,1958.0,68.0,1,High-Value Investors
16,0,14,660.84,189045.87,0,1,1,8,12,1,3.0,0,2,1986.0,40.0,3,Young Buyers
16,0,17,836.32,256437.11,0,1,1,9,53,0,4.0,0,2,1998.0,28.0,3,Young Buyers
16,1,28,1440.71,401828.82,0,1,0,9,8,0,4.0,0,2,1998.0,28.0,3,Young Buyers
16,0,29,489.49,163436.83,0,1,0,9,8,0,5.0,1,0,1973.0,53.0,3,Young Buyers
16,0,33,881.17,287687.55,0,1,1,9,27,0,3.0,0,2,1951.0,75.0,0,Senior Home Buyers
16,0,33,881.17,320824.87,0,1,0,9,8,0,3.0,1,2,1992.0,34.0,3,Young Buyers
16,0,38,431.83,142662.45,0,1,0,8,31,1,5.0,1,2,1943.0,83.0,0,Senior Home Buyers
16,1,40,688.81,212720.73,0,1,0,9,8,1,3.0,0,2,1983.0,43.0,3,Young Buyers
17,0,4,448.67,134841.47,0,1,1,9,27,1,5.0,1,1,1942.0,84.0,0,Senior Home Buyers
17,0,8,1297.3,408314.89,0,1,0,9,35,0,5.0,1,2,1986.0,40.0,3,Young Buyers
17,0,13,916.9,274356.57,0,1,0,9,8,0,4.0,1,2,1996.0,30.0,3,Young Buyers
17,0,14,1646.02,475302.44,0,0,1,5,4,0,5.0,0,2,1983.0,43.0,2,Corporate Buyers
17,0,16,1693.0,525796.95,0,1,1,9,48,0,4.0,0,2,1969.0,57.0,1,High-Value Investors
17,0,20,792.27,244945.04,0,1,0,9,35,0,2.0,0,2,1962.0,64.0,0,Senior Home Buyers
17,1,24,894.72,311703.16,0,1,1,9,53,1,2.0,0,2,1969.0,57.0,0,Senior Home Buyers
17,0,26,929.59,255120.03,0,1,0,9,37,0,3.0,1,2,1957.0,69.0,0,Senior Home Buyers
17,0,27,677.24,183228.95,0,1,1,9,8,0,5.0,0,0,1966.0,60.0,0,Senior Home Buyers
17,1,27,677.24,201016.28,0,1,1,4,18,0,4.0,1,1,1955.0,71.0,0,Senior Home Buyers
17,0,32,954.54,272169.11,0,1,1,9,15,0,1.0,1,2,1973.0,53.0,3,Young Buyers
17,0,33,1532.89,575664.65,0,1,1,8,43,0,5.0,0,2,1953.0,73.0,1,High-Value Investors
17,1,38,721.83,197541.36,0,1,0,0,26,0,1.0,0,2,1963.0,63.0,0,Senior Home Buyers
17,0,48,1833.96,535553.54,0,1,1,9,8,0,5.0,0,2,1964.0,62.0,1,High-Value Investors
17,0,48,1833.96,518130.19,0,1,0,9,1,0,3.0,0,2,1959.0,67.0,1,High-Value Investors
17,0,48,1833.96,626692.98,0,1,1,5,16,0,4.0,0,2,1953.0,73.0,1,High-Value Investors
17,1,48,1833.96,674268.09,0,1,0,9,27,0,1.0,0,0,1960.0,66.0,1,High-Value Investors
17,1,51,1375.52,415531.04,0,1,1,3,45,0,5.0,0,2,1951.0,75.0,1,High-Value Investors
17,0,52,1742.3,537510.16,0,1,1,5,17,0,3.0,1,2,1962.0,64.0,1,High-Value Investors
18,0,1,1379.64,437818.55,0,1,0,2,0,0,1.0,1,0,1961.0,65.0,1,High-Value Investors
18,0,6,840.25,241961.7,0,1,0,1,13,1,1.0,0,0,1952.0,74.0,0,Senior Home Buyers
18,1,25,911.94,319887.69,0,1,1,5,3,0,4.0,0,0,1984.0,42.0,3,Young Buyers
18,0,25,911.94,277921.61,0,1,1,9,1,1,3.0,0,0,1949.0,77.0,0,Senior Home Buyers
18,0,27,650.82,182266.87,0,1,1,9,8,0,5.0,0,2,1940.0,86.0,0,Senior Home Buyers
18,0,29,578.36,192263.39,0,1,1,9,1,0,4.0,0,2,1975.0,51.0,3,Young Buyers
18,0,32,1512.9,391108.87,0,1,0,9,47,1,3.0,0,2,1989.0,37.0,3,Young Buyers
18,0,32,1512.9,478922.56,0,1,1,7,24,0,2.0,0,2,1988.0,38.0,1,High-Value Investors
18,0,36,1089.77,360807.72,0,1,1,9,8,0,5.0,0,2,1938.0,88.0,0,Senior Home Buyers
18,0,36,1089.77,333843.01,0,1,0,7,42,1,2.0,1,0,1953.0,73.0,0,Senior Home Buyers
18,0,39,662.88,175812.42,0,1,0,9,37,0,2.0,0,0,1967.0,59.0,0,Senior Home Buyers
18,0,39,662.88,202760.5,0,1,1,9,8,0,4.0,0,0,1956.0,70.0,0,Senior Home Buyers
18,0,40,990.46,368358.25,0,1,1,9,1,0,4.0,1,0,1950.0,76.0,0,Senior Home Buyers
18,0,41,852.83,253379.8,0,1,0,9,27,0,3.0,0,0,1965.0,61.0,0,Senior Home Buyers
18,0,53,1806.7,499227.25,0,1,1,9,1,0,4.0,1,2,1972.0,54.0,1,High-Value Investors
18,0,53,1806.7,579753.4,0,1,1,9,8,0,5.0,0,0,2000.0,26.0,1,High-Value Investors
18,0,53,1806.7,524447.11,0,1,0,8,12,0,5.0,1,2,1951.0,75.0,1,High-Value Investors
18,0,54,1756.12,508227.88,0,1,0,9,11,0,3.0,1,2,1975.0,51.0,1,High-Value Investors
18,1,55,930.04,262939.01,0,0,1,9,1,1,5.0,0,2,1986.0,40.0,2,Corporate Buyers
18,0,56,1311.59,361624.36,0,1,0,9,8,1,1.0,0,2,1998.0,28.0,3,Young Buyers
18,0,56,1311.59,448282.99,0,1,1,9,8,0,1.0,0,0,1985.0,41.0,1,High-Value Investors
18,0,60,1488.67,461412.78,0,1,1,3,56,0,4.0,0,2,1946.0,80.0,1,High-Value Investors
19,0,4,1225.38,342245.42,0,1,1,7,21,1,1.0,0,2,1961.0,65.0,1,High-Value Investors
19,0,6,1067.81,304055.72,0,1,1,9,8,0,2.0,0,2,1958.0,68.0,0,Senior Home Buyers
19,1,7,973.6,367468.14,0,1,0,9,8,0,4.0,0,0,1963.0,63.0,0,Senior Home Buyers
19,1,8,974.77,279169.46,0,1,0,9,53,0,5.0,0,2,1964.0,62.0,0,Senior Home Buyers
19,0,15,538.06,160523.29,0,1,0,8,51,0,5.0,1,2,1994.0,32.0,3,Young Buyers
19,1,21,477.75,179270.66,0,1,0,9,14,0,4.0,0,2,1975.0,51.0,3,Young Buyers
19,0,21,477.75,158607.61,0,1,1,9,8,0,1.0,0,2,1975.0,51.0,3,Young Buyers
19,0,24,620.51,187120.57,0,0,1,9,53,0,1.0,0,0,1993.0,33.0,2,Corporate Buyers
19,0,26,668.24,149009.73,0,1,1,9,8,0,5.0,0,2,1959.0,67.0,0,Senior Home Buyers
19,0,31,1089.64,312192.36,0,1,0,9,8,0,2.0,0,1,1982.0,44.0,3,Young Buyers
19,0,32,1048.61,326363.04,0,1,1,9,50,0,3.0,0,0,1975.0,51.0,3,Young Buyers
19,0,43,1697.72,518931.48,0,1,0,9,8,0,3.0,1,0,1949.0,77.0,1,High-Value Investors
20,0,1,1898.39,736652.27,0,1,0,9,8,0,2.0,0,0,1974.0,52.0,1,High-Value Investors
20,0,4,631.75,202971.33,0,1,0,9,37,1,4.0,1,0,2000.0,26.0,3,Young Buyers
20,0,14,837.37,254752.28,0,1,1,9,11,0,3.0,0,2,1948.0,78.0,0,Senior Home Buyers
20,0,26,1941.62,563448.9,0,1,1,9,8,0,1.0,0,2,1989.0,37.0,1,High-Value Investors
20,0,29,1844.16,466648.29,0,1,1,1,52,0,2.0,0,2,1952.0,74.0,1,High-Value Investors
20,0,29,1844.16,575218.75,0,1,0,1,13,0,2.0,0,0,1981.0,45.0,1,High-Value Investors
20,0,31,1414.44,400106.01,0,1,0,9,8,1,2.0,0,2,1962.0,64.0,1,High-Value Investors
20,0,33,630.53,154906.87,0,1,1,9,14,0,5.0,0,2,1988.0,38.0,3,Young Buyers
20,0,37,632.35,200206.9,0,1,0,9,25,0,4.0,0,2,1977.0,49.0,3,Young Buyers
20,0,38,1499.47,402705.53,0,1,0,9,8,0,1.0,0,0,1968.0,58.0,1,High-Value Investors
20,0,40,428.03,118965.05,0,1,1,6,23,1,3.0,0,2,1967.0,59.0,0,Senior Home Buyers
20,0,47,590.12,150873.32,0,1,0,9,8,1,4.0,1,2,1984.0,42.0,3,Young Buyers
20,0,48,860.8,292476.39,0,1,1,9,8,0,3.0,0,0,1958.0,68.0,0,Senior Home Buyers
20,0,49,880.76,254985.85,0,1,1,9,37,0,3.0,1,1,1961.0,65.0,0,Senior Home Buyers
20,0,52,1634.67,457871.48,0,1,0,9,8,0,1.0,1,0,1968.0,58.0,1,High-Value Investors
20,0,54,589.61,211209.42,0,1,1,2,0,1,5.0,1,2,1958.0,68.0,0,Senior Home Buyers
20,0,54,589.61,165450.84,0,1,0,9,8,1,3.0,0,0,1972.0,54.0,3,Young Buyers
20,0,54,589.61,188272.1,0,1,1,9,1,1,2.0,0,0,1981.0,45.0,3,Young Buyers
20,0,54,589.61,181148.12,0,1,0,9,8,0,4.0,0,0,1950.0,76.0,0,Senior Home Buyers
20,1,54,589.61,208828.68,0,0,1,6,23,0,3.0,0,2,1985.0,41.0,2,Corporate Buyers
1,1,10,800.96,264142.16,0,0,1,9,25,1,5.0,0,2,1967.0,59.0,2,Corporate Buyers
1,1,11,827.87,222947.21,0,0,1,9,25,1,5.0,1,2,1963.0,63.0,2,Corporate Buyers
1,0,28,1160.36,331154.88,0,0,1,9,8,1,5.0,0,2,1976.0,50.0,2,Corporate Buyers
2,0,26,649.8,198075.99,0,1,0,9,8,1,2.0,0,0,1972.0,54.0,3,Young Buyers
2,0,43,1110.32,355073.4,0,1,1,9,25,0,2.0,1,2,1974.0,52.0,3,Young Buyers
2,0,52,1615.29,484458.03,0,1,1,2,40,1,5.0,0,2,1947.0,79.0,1,High-Value Investors
3,0,43,1128.4,299159.14,0,1,1,9,8,1,4.0,0,2,1963.0,63.0,0,Senior Home Buyers
1,0,2,715.67,216996.95,0,0,1,9,25,1,4.0,1,2,1977.0,49.0,2,Corporate Buyers
1,0,3,788.73,223548.52,0,1,0,8,12,1,1.0,0,2,1999.0,27.0,3,Young Buyers
1,0,7,758.88,235151.17,0,1,0,5,30,1,1.0,1,2,1971.0,55.0,3,Young Buyers
1,0,13,719.47,195020.26,0,1,1,4,6,0,3.0,0,2,1967.0,59.0,0,Senior Home Buyers
1,0,14,1181.69,277837.04,0,1,0,9,8,0,4.0,0,2,1954.0,72.0,0,Senior Home Buyers
1,0,14,1181.69,410180.27,0,1,1,4,38,0,5.0,0,2,1980.0,46.0,3,Young Buyers
1,0,15,765.0,234250.56,0,1,1,9,8,1,1.0,0,2,1974.0,52.0,3,Young Buyers
1,0,16,612.76,199424.86,0,1,1,9,8,0,3.0,0,2,1962.0,64.0,0,Senior Home Buyers
1,0,22,740.83,187644.88,0,1,0,9,8,0,1.0,1,2,1966.0,60.0,0,Senior Home Buyers
1,0,22,740.83,210445.3,0,1,1,9,8,0,4.0,0,0,1956.0,70.0,0,Senior Home Buyers
1,0,22,740.83,240139.8,0,1,1,9,8,1,1.0,0,2,1968.0,58.0,0,Senior Home Buyers
1,1,27,725.12,251042.18,0,1,1,9,8,0,5.0,0,2,1980.0,46.0,3,Young Buyers
1,0,29,757.2,236373.55,0,1,1,8,12,0,2.0,0,2,1952.0,74.0,0,Senior Home Buyers
1,0,30,753.29,221063.07,0,1,0,9,8,1,4.0,0,0,1993.0,33.0,3,Young Buyers
1,0,31,619.78,185780.26,0,1,1,1,52,0,4.0,0,0,1961.0,65.0,0,Senior Home Buyers
1,0,32,800.77,228232.72,0,1,1,9,25,0,1.0,0,2,1995.0,31.0,3,Young Buyers
1,0,38,1355.85,327248.98,0,1,0,9,8,1,1.0,0,2,1998.0,28.0,3,Young Buyers
2,0,2,788.72,240243.78,0,1,1,6,19,1,1.0,1,0,1973.0,53.0,3,Young Buyers
2,0,8,715.54,232688.53,0,1,1,9,15,0,1.0,0,2,1977.0,49.0,3,Young Buyers
2,0,13,782.33,235637.33,0,1,0,9,50,0,4.0,0,2,1994.0,32.0,3,Young Buyers
2,0,15,1603.33,513464.72,0,1,0,9,8,0,2.0,1,0,1952.0,74.0,1,High-Value Investors
2,0,15,1603.33,499600.59,0,1,0,8,43,0,3.0,1,2,1955.0,71.0,1,High-Value Investors
2,0,19,795.52,277015.0,0,1,1,9,1,1,5.0,0,0,1997.0,29.0,3,Young Buyers
2,0,22,653.41,224133.54,0,1,0,9,11,0,1.0,0,0,1984.0,42.0,3,Young Buyers
2,0,24,785.12,230107.73,0,1,1,9,8,0,5.0,0,2,1959.0,67.0,0,Senior Home Buyers
2,0,29,1107.33,325010.71,0,1,1,9,25,1,5.0,0,1,1940.0,86.0,0,Senior Home Buyers
2,0,34,800.26,253232.44,0,1,0,9,8,1,1.0,1,2,1992.0,34.0,3,Young Buyers
2,0,36,641.72,164198.69,0,1,0,9,15,1,4.0,0,1,1978.0,48.0,3,Young Buyers
2,0,38,710.81,204892.35,0,1,0,9,11,1,1.0,0,2,1954.0,72.0,0,Senior Home Buyers
2,1,42,786.45,209063.55,0,1,0,9,15,1,3.0,0,2,1959.0,67.0,0,Senior Home Buyers
2,0,42,786.45,223924.47,0,1,0,9,8,0,3.0,0,0,1994.0,32.0,3,Young Buyers
2,0,42,786.45,248975.66,0,1,1,6,19,0,4.0,0,0,1980.0,46.0,3,Young Buyers
2,0,46,697.74,191730.36,0,1,1,9,25,0,2.0,1,2,1937.0,89.0,0,Senior Home Buyers
2,0,46,697.74,188000.19,0,1,1,5,30,0,5.0,0,0,1969.0,57.0,0,Senior Home Buyers
2,0,51,699.31,219752.03,0,1,0,9,8,1,5.0,1,0,1959.0,67.0,0,Senior Home Buyers
2,0,52,914.01,250239.86,0,1,1,9,11,0,3.0,0,2,1954.0,72.0,0,Senior Home Buyers
3,0,12,657.47,182618.24,0,1,0,9,35,0,4.0,0,2,1960.0,66.0,0,Senior Home Buyers
3,0,13,754.84,233701.51,0,1,0,9,37,0,1.0,0,2,1981.0,45.0,3,Young Buyers
3,0,17,937.24,310304.6,0,1,1,9,8,0,1.0,0,2,1958.0,68.0,0,Senior Home Buyers
3,0,19,1602.22,526180.38,0,1,0,9,53,1,4.0,0,2,1984.0,42.0,1,High-Value Investors
3,0,21,1122.15,354543.67,0,1,0,9,25,0,5.0,0,1,1943.0,83.0,0,Senior Home Buyers
3,0,25,765.56,248929.48,0,1,1,9,15,1,3.0,0,0,1964.0,62.0,0,Senior Home Buyers
3,0,47,691.09,234934.93,0,1,1,2,0,0,5.0,1,0,1974.0,52.0,3,Young Buyers
3,0,49,1174.48,334121.61,0,1,1,9,37,0,2.0,0,2,1951.0,75.0,0,Senior Home Buyers
3,0,49,1174.48,349203.77,0,1,1,9,48,1,2.0,1,1,1943.0,83.0,0,Senior Home Buyers
3,0,51,693.85,199163.2,0,1,1,9,53,0,4.0,1,2,1947.0,79.0,0,Senior Home Buyers
3,0,57,1607.94,487171.09,0,1,1,8,31,0,3.0,0,2,1992.0,34.0,1,High-Value Investors
4,0,2,1620.07,523966.96,0,1,1,5,16,0,2.0,0,2,1944.0,82.0,1,High-Value Investors
4,0,3,1630.82,539711.96,0,1,0,9,8,0,3.0,1,2,1956.0,70.0,1,High-Value Investors
4,0,4,783.03,240057.11,0,1,0,2,0,0,2.0,0,0,1943.0,83.0,0,Senior Home Buyers
4,0,5,786.98,206258.47,0,1,0,9,8,0,1.0,0,1,1985.0,41.0,3,Young Buyers
4,0,5,786.98,227598.3,0,1,1,9,14,0,2.0,1,0,1999.0,27.0,3,Young Buyers
4,1,10,1614.62,608055.99,0,1,0,9,8,0,2.0,0,2,1961.0,65.0,1,High-Value Investors
4,0,11,802.79,235196.88,0,1,1,2,5,0,1.0,0,2,1948.0,78.0,0,Senior Home Buyers
4,0,14,1322.66,398928.35,0,1,0,9,47,1,2.0,0,2,1965.0,61.0,1,High-Value Investors
4,0,15,760.39,242012.41,0,1,1,9,8,0,3.0,0,2,1977.0,49.0,3,Young Buyers
4,0,15,760.39,201059.89,0,1,1,9,50,0,3.0,1,0,1992.0,34.0,3,Young Buyers
4,0,16,1128.21,311009.93,0,1,1,9,8,1,1.0,0,2,1973.0,53.0,3,Young Buyers
4,1,18,1294.91,398599.37,0,1,0,9,8,1,3.0,1,2,1959.0,67.0,0,Senior Home Buyers
4,0,18,1294.91,403973.72,0,1,0,9,11,0,5.0,1,0,1966.0,60.0,1,High-Value Investors
4,1,24,786.05,272856.78,0,1,1,9,8,0,2.0,0,0,1991.0,35.0,3,Young Buyers
4,0,26,790.05,256720.02,0,1,1,9,8,1,4.0,0,2,1988.0,38.0,3,Young Buyers
4,0,26,790.05,277760.89,0,1,0,9,8,0,5.0,0,2,1972.0,54.0,0,Senior Home Buyers
4,1,26,790.05,266440.01,0,1,1,9,8,0,1.0,1,2,1944.0,82.0,0,Senior Home Buyers
4,1,37,800.13,215216.2,0,1,0,9,37,0,2.0,1,2,1989.0,37.0,3,Young Buyers
4,0,40,780.74,235532.69,0,1,0,9,50,0,4.0,0,0,1956.0,70.0,0,Senior Home Buyers
4,0,43,1616.99,504517.39,0,1,0,9,8,1,1.0,0,0,1951.0,75.0,1,High-Value Investors
5,0,4,799.1,208960.43,0,1,0,9,50,0,1.0,1,0,1958.0,68.0,0,Senior Home Buyers
5,0,9,793.56,264639.92,0,1,0,9,8,0,2.0,1,0,1988.0,38.0,3,Young Buyers
5,0,10,629.27,156700.2,0,1,1,9,14,1,5.0,0,0,1976.0,50.0,3,Young Buyers
5,0,15,1050.95,282845.5,0,1,0,4,28,0,4.0,0,2,1997.0,29.0,3,Young Buyers
5,0,23,1006.65,334696.9,0,1,0,8,12,0,4.0,0,0,1948.0,78.0,0,Senior Home Buyers
5,0,27,1278.6,308068.85,0,1,1,9,53,0,5.0,0,0,1967.0,59.0,0,Senior Home Buyers
5,1,29,786.28,236804.87,0,1,0,9,8,1,5.0,0,2,1947.0,79.0,0,Senior Home Buyers
5,0,32,1051.39,327070.05,0,1,0,9,37,0,4.0,0,2,1990.0,36.0,3,Young Buyers
5,0,32,1051.39,311645.47,0,1,1,9,8,0,1.0,0,0,1991.0,35.0,3,Young Buyers
5,0,32,1051.39,308068.31,0,1,0,9,8,0,5.0,0,2,1999.0,27.0,3,Young Buyers
5,1,33,1787.13,512156.34,0,1,0,9,1,1,5.0,1,2,1956.0,70.0,1,High-Value Investors
5,0,34,802.33,267723.88,0,1,1,2,22,0,2.0,1,1,1956.0,70.0,0,Senior Home Buyers
5,0,34,802.33,232731.8,0,1,0,9,37,1,1.0,0,0,1986.0,40.0,3,Young Buyers
5,0,36,627.56,178814.53,0,1,0,9,8,1,3.0,0,0,1997.0,29.0,3,Young Buyers
5,0,44,806.03,252835.34,0,1,0,9,15,0,1.0,1,0,1996.0,30.0,3,Young Buyers
5,0,44,806.03,246214.1,0,1,1,9,47,0,2.0,1,2,1970.0,56.0,3,Young Buyers
